Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total
3158;;;-4,419619;17,72056;;Surv Apr-Jun 2016;5/11/16;1;0
3159;;;-4,418963;17,708626;;Surv Apr-Jun 2016;5/12/16;1;0
3160;;;-4,419172;17,708785;;Surv Apr-Jun 2016;5/12/16;1;0
3161;;;-4,418983;17,708883;;Surv Apr-Jun 2016;5/12/16;1;0
3162;;;-4,419067;17,709517;;Surv Apr-Jun 2016;5/12/16;1;0
3163;;;-4,41955;17,710358;;Surv Apr-Jun 2016;5/12/16;1;0
3164;;;-4,419791;17,711229;;Surv Apr-Jun 2016;5/12/16;1;0
3165;;;-4,419712;17,712148;;Surv Apr-Jun 2016;5/12/16;1;1
3166;;;-4,419345;17,713072;;Surv Apr-Jun 2016;5/12/16;1;0
3167;;;-4,418905;17,714041;;Surv Apr-Jun 2016;5/12/16;1;0
3168;;;-4,418495;17,714954;;Surv Apr-Jun 2016;5/12/16;1;0
3169;;;-4,417683;17,71572;;Surv Apr-Jun 2016;5/12/16;1;0
3170;;;-4,400059;17,703334;;Surv Apr-Jun 2016;5/12/16;1;0
3171;;;-4,399953;17,703349;;Surv Apr-Jun 2016;5/12/16;1;0
3172;;;-4,399795;17,703394;;Surv Apr-Jun 2016;5/12/16;1;0
3173;;;-4,364365;17,773746;;Surv Apr-Jun 2016;5/25/16;1;0
3174;;;-4,364488;17,773846;;Surv Apr-Jun 2016;5/25/16;1;0
3175;;;-4,364095;17,773828;Fishpond;Surv Apr-Jun 2016;5/25/16;1;0
3176;;;-4,363822;17,773869;Fishpond;Surv Apr-Jun 2016;5/25/16;1;0
3177;;;-4,363746;17,774193;Fishpond;Surv Apr-Jun 2016;5/25/16;1;0
3178;;;-4,363571;17,774327;;Surv Apr-Jun 2016;5/25/16;1;0
3179;;;-4,363308;17,774617;;Surv Apr-Jun 2016;5/25/16;1;0
3180;;;-4,363003;17,774926;;Surv Apr-Jun 2016;5/25/16;1;0
3181;;;-4,362639;17,775149;;Surv Apr-Jun 2016;5/25/16;1;0
3182;;;-4,362275;17,775571;;Surv Apr-Jun 2016;5/25/16;1;0
3183;;;-4,361966;17,776458;;Surv Apr-Jun 2016;5/25/16;1;0
3184;;;-4,361483;17,777199;;Surv Apr-Jun 2016;5/25/16;1;0
3185;;;-4,361247;17,778234;;Surv Apr-Jun 2016;5/25/16;1;0
3186;;;-4,36106;17,779138;;Surv Apr-Jun 2016;5/25/16;1;0
3187;;;-4,361534;17,780335;;Surv Apr-Jun 2016;5/25/16;1;0
3188;;;-4,361083;17,781192;;Surv Apr-Jun 2016;5/25/16;1;0
3189;;;-4,360744;17,782027;;Surv Apr-Jun 2016;5/25/16;1;0
3190;;;-4,360024;17,78256;Mutindi village;Surv Apr-Jun 2016;5/25/16;1;0
3191;;;-4,362881;17,770116;;Surv Apr-Jun 2016;5/25/16;1;0
3193;;;-4,362838;17,770007;;Surv Apr-Jun 2016;5/25/16;1;0
3194;;;-4,362366;17,769999;;Surv Apr-Jun 2016;5/25/16;1;0
3195;;;-4,361947;17,770067;;Surv Apr-Jun 2016;5/25/16;1;0
3196;;;-4,361443;17,770145;;Surv Apr-Jun 2016;5/25/16;1;0
3197;;;-4,361024;17,770085;;Surv Apr-Jun 2016;5/25/16;1;0
3198;;;-4,360553;17,769917;;Surv Apr-Jun 2016;5/25/16;1;0
3199;;;-4,360123;17,769823;;Surv Apr-Jun 2016;5/25/16;1;0
3200;;;-4,35933;17,769077;;Surv Apr-Jun 2016;5/25/16;1;0
3201;;;-4,35447;17,766873;;Surv Apr-Jun 2016;5/25/16;1;0
3202;;;-4,354328;17,766841;;Surv Apr-Jun 2016;5/25/16;1;0
3203;;;-4,354014;17,766696;;Surv Apr-Jun 2016;5/25/16;1;0
3204;;;-4,353446;17,766271;;Surv Apr-Jun 2016;5/25/16;1;1
3205;;;-4,353671;17,766458;;Surv Apr-Jun 2016;5/25/16;1;0
3206;;;-4,439577;17,806409;Bridge;Surv Apr-Jun 2016;5/26/16;1;0
3207;;;-4,439462;17,806532;Bridge;Surv Apr-Jun 2016;5/26/16;1;0
