Site;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
SAK06;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,0035662945010192;Lukula;0;367;367;0
SAK06;T1;11/14/15;11/16/15;IN;0;1;0;;0,0035662945010192;Lukula;0;367;367;0
SAK06;T3;4/25/16;4/27/16;IN;0;0;0;;0,0035662945010192;Lukula;0;367;367;0
SAK06;T7;4/30/17;5/2/17;IN;0;0;0;;0,0035662945010192;Lukula;0;367;367;0
SAK06;T2;2/6/16;2/8/16;IN;0;0;0;;0,0035662945010192;Lukula;0;367;367;0
SAK06;T0;7/15/15;7/17/15;IN;1;9;0;; ; ; ;367; ; 
SAK06;T8;7/22/17;7/24/17;IN;0;0;0;;0,0035662945010192;Lukula;0;367;367;0
SAK06;T6;2/11/17;2/13/17;IN;0;0;0;;0,0035662945010192;Lukula;0;367;367;0
SAK06;T4;7/26/16;7/28/16;IN;0;0;0;;0,0035662945010192;Lukula;0;367;367;0
SAK07;T2;2/6/16;2/8/16;IN;0;0;0;;0,00544725488811741;Lukula;0;367;367;0
SAK07;T7;4/30/17;5/2/17;IN;1;1;0;;0,00544725488811741;Lukula;0;367;367;0
SAK07;T6;2/11/17;2/13/17;IN;0;0;0;;0,00544725488811741;Lukula;0;367;367;0
SAK07;T3;4/25/16;4/27/16;IN;0;0;0;;0,00544725488811741;Lukula;0;367;367;0
SAK07;T0;7/15/15;7/17/15;IN;1;6;0;; ; ; ;367; ; 
SAK07;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,00544725488811741;Lukula;0;367;367;0
SAK07;T1;11/14/15;11/16/15;IN;1;0;0;;0,00544725488811741;Lukula;0;367;367;0
SAK07;T8;7/22/17;7/24/17;IN;0;0;0;;0,00544725488811741;Lukula;0;367;367;0
SAK07;T4;7/26/16;7/28/16;IN;0;1;0;;0,00544725488811741;Lukula;0;367;367;0
SAK08;T2;2/6/16;2/8/16;IN;0;0;0;;0,00456264077100345;Lukula;0;367;367;0
SAK08;T6;2/11/17;2/13/17;IN;0;0;0;;0,00456264077100345;Lukula;0;367;367;0
SAK08;T3;4/25/16;4/27/16;IN;0;0;0;;0,00456264077100345;Lukula;0;367;367;0
SAK08;T1;11/14/15;11/16/15;IN;0;1;0;;0,00456264077100345;Lukula;0;367;367;0
SAK08;T8;7/22/17;7/24/17;IN;0;0;0;;0,00409294944210361;Lukula;0;367;367;0
SAK08;T7;4/30/17;5/2/17;IN;0;0;0;;0,00456264077100345;Lukula;0;367;367;0
SAK08;T0;7/15/15;7/17/15;IN;5;6;0;; ; ; ;367; ; 
SAK08;T4;7/26/16;7/28/16;IN;0;0;0;;0,00456264077100345;Lukula;0;367;367;0
SAK08;T5;11/1/16;11/3/16;3 deployments;0;0;0;;0,00456264077100345;Lukula;0;367;367;0
SAK1;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Control;0;0;0;;6,81066392242414;Lukula;910;407;367;40
SAK2;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Control;0;0;0;;6,82592468301425;Lukula;923;408;367;41
SAK3;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Control;0;0;0;;6,83676107078927;Lukula;937;410;367;43
SAK4;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Control;0;0;0;;6,85018876521708;Lukula;928;413;367;46
SAK5;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Control;0;0;0;;7,34197520005718;Lukula;1087;520;367;153
SAK6;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Control;0;0;0;;7,40821386634134;Lukula;1116;525;367;158
SAK7;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Control;0;0;0;;7,39925777612276;Lukula;1083;530;367;163
SAK8;PAUL AND RICHARDS' VILLAGES;10/29/16;10/31/16;Control;0;0;0;;7,41789967041733;Lukula;1069;526;367;159
SNZ01;FebMar 2017;3/21/17;3/23/17;OUT;0;0;0;;9,73050882742614;Lukula;652;350;350;0
SNZ02;FebMar 2017;3/21/17;3/23/17;OUT;0;0;0;;9,70854376148508;Lukula;630;350;350;0
SNZ03;FebMar 2017;3/21/17;3/23/17;OUT;0;0;0;;9,68424559917258;Lukula;636;350;350;0
SNZ04;FebMar 2017;3/21/17;3/23/17;OUT;0;0;0;;9,65869995424614;Lukula;642;350;350;0
SNZ05;FebMar 2017;3/21/17;3/23/17;OUT;0;0;0;;9,63939871514394;Lukula;668;350;350;0
SNZ06;FebMar 2017;3/21/17;3/23/17;OUT;0;0;0;;9,63010143706172;Lukula;653;351;350;1
YAS01;T6;2/7/17;2/9/17;IN;0;0;0;;0,00739881402012058;Lukula;0;357;357;0
YAS01;T7;5/1/17;5/3/17;IN;0;0;0;;0,0015887178233148;Lukula;0;357;357;0
YAS01;T2;2/5/16;2/7/16;IN;0;0;0;;0,010054290304105;Lukula;0;357;357;0
