Site;Zone;Zone.Abb;LAT;LONG;Habitat;FirstSurvey;FirstSurveyDate;Count;Total;Operation;DATE_.SETUP;DATE_.COLLECT;In_Out;Males;Females;Unknown;Remarks;distToTargets;NearIntervention;elevChange;trapElev;targetElev;elevDiff
3102;;;-4,486803;17,706377;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,1742731808996;Lukula;2466;386;362;24
3103;;;-4,486367;17,706554;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,1693846476272;Lukula;2620;388;362;26
3104;;;-4,485968;17,706868;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;22,148880917395;Lukula;2691;391;362;29
3105;;;-4,482723;17,712737;;Surv Apr-Jun 2016;5/10/16;1;0;Surv Apr-Jun 2016;5/10/16;5/12/16;;0;0;0;;21,6373134712351;Lukula;2521;403;362;41
3106;;;-4,494909;17,784878;Small river;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,6693921854891;Lukula;1475;411;364;47
3107;;;-4,49436;17,785172;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,6638479011088;Lukula;1521;415;364;51
3108;;;-4,494758;17,784546;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,7098394205966;Lukula;1475;411;364;47
3109;;;-4,494317;17,78432;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,7523298401614;Lukula;1529;411;364;47
3110;;;-4,494433;17,783604;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,8200440661284;Lukula;1485;413;364;49
3111;;;-4,495228;17,784446;Fishpond;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,6993914657717;Lukula;1533;411;364;47
3112;;;-4,495677;17,784677;;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,65626391633;Lukula;1567;417;364;53
3113;;;-4,496091;17,78473;;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,6329270263845;Lukula;1501;433;364;69
3114;;;-4,496494;17,784899;;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,5983116241344;Lukula;1439;441;364;77
3115;;;-4,496829;17,785297;;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,5432415314073;Lukula;1434;468;364;104
3116;;;-4,496923;17,785891;;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,4784391936211;Lukula;1405;471;364;107
3117;;;-4,4967;17,786717;;Surv Apr-Jun 2016;5/11/16;1;0;Surv Apr-Jun 2016;5/11/16;5/13/16;;0;0;0;;13,4036364177989;Lukula;1488;482;364;118
